# matchedfilter CPU COST table -- FDR and batch-aware relative costs
# format cost-fd-pairs-v1
# cpu     AMD RYZEN AI MAX+ 395 w/ Radeon 8060S
# commit  4c2706e
# Warm public-API cost relative to the widest band for this profile and shape.
# The reference-profile gate model computes accuracy independently.
# U=2 and K=8 are retained as configuration metadata; taps are inert.
# COST n band U K snr fd pairs f beff relative_cost
COST 1024 256 2 8 5.00 0.0001 512 0.884518 113.275 1.037748
COST 1024 512 2 8 5.00 0.0001 512 1.000000 143.622 1.000000
COST 1024 256 2 8 5.00 0.0001 512 0.940195 81.628 1.169306
COST 1024 512 2 8 5.00 0.0001 512 1.000000 92.210 1.000000
COST 1024 256 2 8 5.00 0.0001 512 0.972159 61.071 0.686920
COST 1024 512 2 8 5.00 0.0001 512 1.000000 64.605 1.000000
COST 1024 256 2 8 5.00 0.0001 512 0.988151 48.031 0.526395
COST 1024 512 2 8 5.00 0.0001 512 1.000000 49.188 1.000000
COST 1024 256 2 8 5.00 0.001 512 0.884518 113.275 1.142350
COST 1024 512 2 8 5.00 0.001 512 1.000000 143.622 1.000000
COST 1024 256 2 8 5.00 0.001 512 0.940195 81.628 0.849741
COST 1024 512 2 8 5.00 0.001 512 1.000000 92.210 1.000000
COST 1024 256 2 8 5.00 0.001 512 0.972159 61.071 0.573588
COST 1024 512 2 8 5.00 0.001 512 1.000000 64.605 1.000000
COST 1024 256 2 8 5.00 0.001 512 0.988151 48.031 0.499082
COST 1024 512 2 8 5.00 0.001 512 1.000000 49.188 1.000000
COST 1024 256 2 8 5.00 0.01 512 0.884518 113.275 0.854999
COST 1024 512 2 8 5.00 0.01 512 1.000000 143.622 1.000000
COST 1024 256 2 8 5.00 0.01 512 0.940195 81.628 0.586700
COST 1024 512 2 8 5.00 0.01 512 1.000000 92.210 1.000000
COST 1024 256 2 8 5.00 0.01 512 0.972159 61.071 0.508869
COST 1024 512 2 8 5.00 0.01 512 1.000000 64.605 1.000000
COST 1024 256 2 8 5.00 0.01 512 0.988151 48.031 0.469488
COST 1024 512 2 8 5.00 0.01 512 1.000000 49.188 1.000000
COST 1024 256 2 8 5.50 0.0001 512 0.884518 113.275 1.328247
COST 1024 512 2 8 5.50 0.0001 512 1.000000 143.622 1.000000
COST 1024 256 2 8 5.50 0.0001 512 0.940195 81.628 0.817589
COST 1024 512 2 8 5.50 0.0001 512 1.000000 92.210 1.000000
COST 1024 256 2 8 5.50 0.0001 512 0.972159 61.071 0.531505
COST 1024 512 2 8 5.50 0.0001 512 1.000000 64.605 1.000000
COST 1024 256 2 8 5.50 0.0001 512 0.988151 48.031 0.477375
COST 1024 512 2 8 5.50 0.0001 512 1.000000 49.188 1.000000
COST 1024 256 2 8 5.50 0.001 512 0.884518 113.275 1.119887
COST 1024 512 2 8 5.50 0.001 512 1.000000 143.622 1.000000
COST 1024 256 2 8 5.50 0.001 512 0.940195 81.628 0.553032
COST 1024 512 2 8 5.50 0.001 512 1.000000 92.210 1.000000
COST 1024 256 2 8 5.50 0.001 512 0.972159 61.071 0.496730
COST 1024 512 2 8 5.50 0.001 512 1.000000 64.605 1.000000
COST 1024 256 2 8 5.50 0.001 512 0.988151 48.031 0.452783
COST 1024 512 2 8 5.50 0.001 512 1.000000 49.188 1.000000
COST 1024 256 2 8 5.50 0.01 512 0.884518 113.275 0.662194
COST 1024 512 2 8 5.50 0.01 512 1.000000 143.622 1.000000
COST 1024 256 2 8 5.50 0.01 512 0.940195 81.628 0.504565
COST 1024 512 2 8 5.50 0.01 512 1.000000 92.210 1.000000
COST 1024 256 2 8 5.50 0.01 512 0.972159 61.071 0.457327
COST 1024 512 2 8 5.50 0.01 512 1.000000 64.605 1.000000
COST 1024 256 2 8 5.50 0.01 512 0.988151 48.031 0.448468
COST 1024 512 2 8 5.50 0.01 512 1.000000 49.188 1.000000
COST 1024 256 2 8 6.00 0.0001 512 0.884518 113.275 1.253492
COST 1024 512 2 8 6.00 0.0001 512 1.000000 143.622 1.000000
COST 1024 256 2 8 6.00 0.0001 512 0.940195 81.628 0.541038
COST 1024 512 2 8 6.00 0.0001 512 1.000000 92.210 1.000000
COST 1024 256 2 8 6.00 0.0001 512 0.972159 61.071 0.462697
COST 1024 512 2 8 6.00 0.0001 512 1.000000 64.605 1.000000
COST 1024 256 2 8 6.00 0.0001 512 0.988151 48.031 0.451417
COST 1024 512 2 8 6.00 0.0001 512 1.000000 49.188 1.000000
COST 1024 256 2 8 6.00 0.001 512 0.884518 113.275 0.785626
COST 1024 512 2 8 6.00 0.001 512 1.000000 143.622 1.000000
COST 1024 256 2 8 6.00 0.001 512 0.940195 81.628 0.488784
COST 1024 512 2 8 6.00 0.001 512 1.000000 92.210 1.000000
COST 1024 256 2 8 6.00 0.001 512 0.972159 61.071 0.452197
COST 1024 512 2 8 6.00 0.001 512 1.000000 64.605 1.000000
COST 1024 256 2 8 6.00 0.001 512 0.988151 48.031 0.453469
COST 1024 512 2 8 6.00 0.001 512 1.000000 49.188 1.000000
COST 1024 256 2 8 6.00 0.01 512 0.884518 113.275 0.488648
COST 1024 512 2 8 6.00 0.01 512 1.000000 143.622 1.000000
COST 1024 256 2 8 6.00 0.01 512 0.940195 81.628 0.464612
COST 1024 512 2 8 6.00 0.01 512 1.000000 92.210 1.000000
COST 1024 256 2 8 6.00 0.01 512 0.972159 61.071 0.452048
COST 1024 512 2 8 6.00 0.01 512 1.000000 64.605 1.000000
COST 1024 256 2 8 6.00 0.01 512 0.988151 48.031 0.449963
COST 1024 512 2 8 6.00 0.01 512 1.000000 49.188 1.000000
COST 1024 256 2 8 6.50 0.0001 512 0.884518 113.275 0.797273
COST 1024 512 2 8 6.50 0.0001 512 1.000000 143.622 1.000000
COST 1024 256 2 8 6.50 0.0001 512 0.940195 81.628 0.489046
COST 1024 512 2 8 6.50 0.0001 512 1.000000 92.210 1.000000
COST 1024 256 2 8 6.50 0.0001 512 0.972159 61.071 0.456414
COST 1024 512 2 8 6.50 0.0001 512 1.000000 64.605 1.000000
COST 1024 256 2 8 6.50 0.0001 512 0.988151 48.031 0.459908
COST 1024 512 2 8 6.50 0.0001 512 1.000000 49.188 1.000000
COST 1024 256 2 8 6.50 0.001 512 0.884518 113.275 0.553578
COST 1024 512 2 8 6.50 0.001 512 1.000000 143.622 1.000000
COST 1024 256 2 8 6.50 0.001 512 0.940195 81.628 0.465667
COST 1024 512 2 8 6.50 0.001 512 1.000000 92.210 1.000000
COST 1024 256 2 8 6.50 0.001 512 0.972159 61.071 0.454345
COST 1024 512 2 8 6.50 0.001 512 1.000000 64.605 1.000000
COST 1024 256 2 8 6.50 0.001 512 0.988151 48.031 0.441587
COST 1024 512 2 8 6.50 0.001 512 1.000000 49.188 1.000000
COST 1024 256 2 8 6.50 0.01 512 0.884518 113.275 0.455819
COST 1024 512 2 8 6.50 0.01 512 1.000000 143.622 1.000000
COST 1024 256 2 8 6.50 0.01 512 0.940195 81.628 0.448666
COST 1024 512 2 8 6.50 0.01 512 1.000000 92.210 1.000000
COST 1024 256 2 8 6.50 0.01 512 0.972159 61.071 0.448409
COST 1024 512 2 8 6.50 0.01 512 1.000000 64.605 1.000000
COST 1024 256 2 8 6.50 0.01 512 0.988151 48.031 0.451961
COST 1024 512 2 8 6.50 0.01 512 1.000000 49.188 1.000000
COST 131072 2048 2 8 5.00 0.0001 512 0.101363 1161.495 0.729075
COST 131072 4096 2 8 5.00 0.0001 512 0.330517 3133.156 0.752121
COST 131072 8192 2 8 5.00 0.0001 512 0.556820 6433.428 0.770351
COST 131072 16384 2 8 5.00 0.0001 512 0.739558 10405.039 0.796014
COST 131072 32768 2 8 5.00 0.0001 512 0.884753 14510.533 0.854343
COST 131072 65536 2 8 5.00 0.0001 512 1.000000 18388.750 1.000000
COST 131072 2048 2 8 5.00 0.0001 512 0.165475 1248.868 0.746328
COST 131072 4096 2 8 5.00 0.0001 512 0.461394 3219.569 0.732171
COST 131072 8192 2 8 5.00 0.0001 512 0.695493 5977.928 0.768047
COST 131072 16384 2 8 5.00 0.0001 512 0.845646 8515.006 0.801398
COST 131072 32768 2 8 5.00 0.0001 512 0.940342 10452.859 0.870467
COST 131072 65536 2 8 5.00 0.0001 512 1.000000 11804.351 1.000000
COST 131072 2048 2 8 5.00 0.0001 512 0.244680 1346.831 0.744113
